start_reg_no | college_code | college_name | branch_code | branch_name
23102102001 | 102 | Vidya Vihar Institute of Technology, Purnea | 102 | Mechanical Engineering
23104102001 | 102 | Vidya Vihar Institute of Technology, Purnea | 104 | Electronics & Communication Engineering
23105102001 | 102 | Vidya Vihar Institute of Technology, Purnea | 105 | Computer Science & Engineering
23110102001 | 102 | Vidya Vihar Institute of Technology, Purnea | 110 | Electrical & Electronics Engineering
23101103001 | 103 | Netaji Subhas Institute of Technology, Bihta, Patna | 101 | Civil Engineering
23102103001 | 103 | Netaji Subhas Institute of Technology, Bihta, Patna | 102 | Mechanical Engineering
23104103001 | 103 | Netaji Subhas Institute of Technology, Bihta, Patna | 104 | Electronics & Communication Engineering
23105103001 | 103 | Netaji Subhas Institute of Technology, Bihta, Patna | 105 | Computer Science & Engineering
23110103001 | 103 | Netaji Subhas Institute of Technology, Bihta, Patna | 110 | Electrical & Electronics Engineering
23101106001 | 106 | Sityog Institute of Technology, Aurangabad | 101 | Civil Engineering
23102106001 | 106 | Sityog Institute of Technology, Aurangabad | 102 | Mechanical Engineering
23103106001 | 106 | Sityog Institute of Technology, Aurangabad | 103 | Electrical Engineering
23105106001 | 106 | Sityog Institute of Technology, Aurangabad | 105 | Computer Science & Engineering
23101107001 | 107 | Muzaffarpur Institute of Technology, Muzaffarpur | 101 | Civil Engineering
23102107001 | 107 | Muzaffarpur Institute of Technology, Muzaffarpur | 102 | Mechanical Engineering
23103107001 | 107 | Muzaffarpur Institute of Technology, Muzaffarpur | 103 | Electrical Engineering
23104107001 | 107 | Muzaffarpur Institute of Technology, Muzaffarpur | 104 | Electronics & Communication Engineering
23106107001 | 107 | Muzaffarpur Institute of Technology, Muzaffarpur | 106 | Information Technology
23107107001 | 107 | Muzaffarpur Institute of Technology, Muzaffarpur | 107 | Leather Technology Engineering
23117107001 | 107 | Muzaffarpur Institute of Technology, Muzaffarpur | 117 | Biomedical and Robotic Engineering
23101108001 | 108 | Bhagalpur College of Engineering, Bhagalpur | 101 | Civil Engineering
23102108001 | 108 | Bhagalpur College of Engineering, Bhagalpur | 102 | Mechanical Engineering
23103108001 | 108 | Bhagalpur College of Engineering, Bhagalpur | 103 | Electrical Engineering
23104108001 | 108 | Bhagalpur College of Engineering, Bhagalpur | 104 | Electronics & Communication Engineering
23105108001 | 108 | Bhagalpur College of Engineering, Bhagalpur | 105 | Computer Science & Engineering
23101109001 | 109 | Nalanda College of Engineering, Chandi, Nalanda | 101 | Civil Engineering
23102109001 | 109 | Nalanda College of Engineering, Chandi, Nalanda | 102 | Mechanical Engineering
23105109001 | 109 | Nalanda College of Engineering, Chandi, Nalanda | 105 | Computer Science & Engineering
23110109001 | 109 | Nalanda College of Engineering, Chandi, Nalanda | 110 | Electrical & Electronics Engineering
23116109001 | 109 | Nalanda College of Engineering, Chandi, Nalanda | 116 | Aeronautical Engineering
23101110001 | 110 | Gaya College of Engineering, Gaya | 101 | Civil Engineering
23102110001 | 110 | Gaya College of Engineering, Gaya | 102 | Mechanical Engineering
23105110001 | 110 | Gaya College of Engineering, Gaya | 105 | Computer Science & Engineering
23110110001 | 110 | Gaya College of Engineering, Gaya | 110 | Electrical & Electronics Engineering
23101111001 | 111 | Darbhanga College of Engineering, Darbhanga | 101 | Civil Engineering
23102111001 | 111 | Darbhanga College of Engineering, Darbhanga | 102 | Mechanical Engineering
23105111001 | 111 | Darbhanga College of Engineering, Darbhanga | 105 | Computer Science & Engineering
23110111001 | 111 | Darbhanga College of Engineering, Darbhanga | 110 | Electrical & Electronics Engineering
23112111001 | 111 | Darbhanga College of Engineering, Darbhanga | 112 | Fire Technology and Safety
23101113001 | 113 | Motihari College of Engineering, Motihari, East Champaran | 101 | Civil Engineering
23102113001 | 113 | Motihari College of Engineering, Motihari, East Champaran | 102 | Mechanical Engineering
23105113001 | 113 | Motihari College of Engineering, Motihari, East Champaran | 105 | Computer Science & Engineering
23110113001 | 113 | Motihari College of Engineering, Motihari, East Champaran | 110 | Electrical & Electronics Engineering
23119113001 | 113 | Motihari College of Engineering, Motihari, East Champaran | 119 | Civil Engineering With Computer Application
23151113001 | 113 | Motihari College of Engineering, Motihari, East Champaran | 151 | CSE (Artificial Intelligence)
23101115001 | 115 | Azmet Institute of Technology, Kishanganj | 101 | Civil Engineering
23102115001 | 115 | Azmet Institute of Technology, Kishanganj | 102 | Mechanical Engineering
23103115001 | 115 | Azmet Institute of Technology, Kishanganj | 103 | Electrical Engineering
23104115001 | 115 | Azmet Institute of Technology, Kishanganj | 104 | Electronics & Communication Engineering
23105115001 | 115 | Azmet Institute of Technology, Kishanganj | 105 | Computer Science & Engineering
23101117001 | 117 | Lok Nayak Jai Prakash Institute of Technology, Chapra, Saran | 101 | Civil Engineering
23102117001 | 117 | Lok Nayak Jai Prakash Institute of Technology, Chapra, Saran | 102 | Mechanical Engineering
23105117001 | 117 | Lok Nayak Jai Prakash Institute of Technology, Chapra, Saran | 105 | Computer Science & Engineering
23110117001 | 117 | Lok Nayak Jai Prakash Institute of Technology, Chapra, Saran | 110 | Electrical & Electronics Engineering
23115117001 | 117 | Lok Nayak Jai Prakash Institute of Technology, Chapra, Saran | 115 | Food Processing and Preservation
23101118001 | 118 | Buddha Institute of Technology, Gaya | 101 | Civil Engineering
23102118001 | 118 | Buddha Institute of Technology, Gaya | 102 | Mechanical Engineering
23103118001 | 118 | Buddha Institute of Technology, Gaya | 103 | Electrical Engineering
23104118001 | 118 | Buddha Institute of Technology, Gaya | 104 | Electronics & Communication Engineering
23105118001 | 118 | Buddha Institute of Technology, Gaya | 105 | Computer Science & Engineering
23101119001 | 119 | Adwaita Mission Institute of Technology, Banka | 101 | Civil Engineering
23102119001 | 119 | Adwaita Mission Institute of Technology, Banka | 102 | Mechanical Engineering
23103119001 | 119 | Adwaita Mission Institute of Technology, Banka | 103 | Electrical Engineering
23104119001 | 119 | Adwaita Mission Institute of Technology, Banka | 104 | Electronics & Communication Engineering
23105119001 | 119 | Adwaita Mission Institute of Technology, Banka | 105 | Computer Science & Engineering
23101121001 | 121 | Moti Babu Institute of Technology, Forbisganj, Araria | 101 | Civil Engineering
23102121001 | 121 | Moti Babu Institute of Technology, Forbisganj, Araria | 102 | Mechanical Engineering
23103121001 | 121 | Moti Babu Institute of Technology, Forbisganj, Araria | 103 | Electrical Engineering
23104121001 | 121 | Moti Babu Institute of Technology, Forbisganj, Araria | 104 | Electronics & Communication Engineering
23105121001 | 121 | Moti Babu Institute of Technology, Forbisganj, Araria | 105 | Computer Science & Engineering
23101122001 | 122 | Exalt College of Engineering & Technology, Vaishali | 101 | Civil Engineering
23105122001 | 122 | Exalt College of Engineering & Technology, Vaishali | 105 | Computer Science & Engineering
23101123001 | 123 | Siwan College of Engineering and Management, Siwan | 101 | Civil Engineering
23102123001 | 123 | Siwan College of Engineering and Management, Siwan | 102 | Mechanical Engineering
23103123001 | 123 | Siwan College of Engineering and Management, Siwan | 103 | Electrical Engineering
23104123001 | 123 | Siwan College of Engineering and Management, Siwan | 104 | Electronics & Communication Engineering
23105123001 | 123 | Siwan College of Engineering and Management, Siwan | 105 | Computer Science & Engineering
23101124001 | 124 | Sershah College of Engineering, Sasaram | 101 | Civil Engineering
23102124001 | 124 | Sershah College of Engineering, Sasaram | 102 | Mechanical Engineering
23105124001 | 124 | Sershah College of Engineering, Sasaram | 105 | Computer Science & Engineering
23110124001 | 124 | Sershah College of Engineering, Sasaram | 110 | Electrical & Electronics Engineering
23113124001 | 124 | Sershah College of Engineering, Sasaram | 113 | Mining Engineering
23101125001 | 125 | Rashtrakavi Ramdhari Singh Dinkar College of Engineering, Begusarai | 101 | Civil Engineering
23102125001 | 125 | Rashtrakavi Ramdhari Singh Dinkar College of Engineering, Begusarai | 102 | Mechanical Engineering
23105125001 | 125 | Rashtrakavi Ramdhari Singh Dinkar College of Engineering, Begusarai | 105 | Computer Science & Engineering
23110125001 | 125 | Rashtrakavi Ramdhari Singh Dinkar College of Engineering, Begusarai | 110 | Electrical & Electronics Engineering
23114125001 | 125 | Rashtrakavi Ramdhari Singh Dinkar College of Engineering, Begusarai | 114 | Chemical Engineering
23101126001 | 126 | Bakhtiyarpur College of Engineering, Patna | 101 | Civil Engineering
23102126001 | 126 | Bakhtiyarpur College of Engineering, Patna | 102 | Mechanical Engineering
23105126001 | 126 | Bakhtiyarpur College of Engineering, Patna | 105 | Computer Science & Engineering
23110126001 | 126 | Bakhtiyarpur College of Engineering, Patna | 110 | Electrical & Electronics Engineering
23112126001 | 126 | Bakhtiyarpur College of Engineering, Patna | 112 | Fire Technology and Safety
23155126001 | 126 | Bakhtiyarpur College of Engineering, Patna | 155 | CSE (Internet of Things)
23101127001 | 127 | Sitamarhi Institute of Technology, Sitamarhi | 101 | Civil Engineering
23102127001 | 127 | Sitamarhi Institute of Technology, Sitamarhi | 102 | Mechanical Engineering
23103127001 | 127 | Sitamarhi Institute of Technology, Sitamarhi | 103 | Electrical Engineering
23105127001 | 127 | Sitamarhi Institute of Technology, Sitamarhi | 105 | Computer Science & Engineering
23119127001 | 127 | Sitamarhi Institute of Technology, Sitamarhi | 119 | Civil Engineering With Computer Application
23157127001 | 127 | Sitamarhi Institute of Technology, Sitamarhi | 157 | CSE (Artificial Intelligence and Machine Learning)
23101128001 | 128 | B. P. Mandal College of Engineering, Madhepura | 101 | Civil Engineering
23102128001 | 128 | B. P. Mandal College of Engineering, Madhepura | 102 | Mechanical Engineering
23105128001 | 128 | B. P. Mandal College of Engineering, Madhepura | 105 | Computer Science & Engineering
23110128001 | 128 | B. P. Mandal College of Engineering, Madhepura | 110 | Electrical & Electronics Engineering
